stage,feature_group,model,folds,n_val_total,n_features,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,precision_stress_mean,precision_stress_std,precision_stress_min,precision_stress_max,recall_stress_mean,recall_stress_std,recall_stress_min,recall_stress_max,f1_stress_mean,f1_stress_std,f1_stress_min,f1_stress_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_std,average_precision_min,average_precision_max
feature_group_ablation,bvp_only,logistic_robust,5,4214,18,0.8424325804700195,0.020413619940067,0.8210900473933649,0.8680142687277052,0.834909681510949,0.022716731062925,0.8063369963369963,0.8620882740447958,0.7960235632436685,0.0153313049583408,0.7779926952892069,0.818889602415038,0.8495879725378016,0.0160136620030838,0.834518253730642,0.8710425015825956,0.6184503755172803,0.0561788111918991,0.5530546623794212,0.6907216494845361,0.8212182043760727,0.0876163248078394,0.7165775401069518,0.9347826086956522,0.6993840238474542,0.0177233760561183,0.6697674418604651,0.7245657568238213,0.8995807890204324,0.0254798400644268,0.8567283780049737,0.9284420289855072,0.738881152302193,0.0601628104190474,0.6774134386071565,0.8336826529374426
feature_group_ablation,acc_only,logistic_robust,5,4214,64,0.8584825918084981,0.0518756264800786,0.8057210965435042,0.9537914691943128,0.8303284955061612,0.0755409905327672,0.7376590868455699,0.9626152832674572,0.8072508495172462,0.0655116349858566,0.7641142765556758,0.9359998133425108,0.8615087810769486,0.0485287542613564,0.8185726042886545,0.9550308879165732,0.682541260711276,0.1286235077673289,0.5436241610738255,0.8392857142857143,0.7797854946742826,0.1629846449757225,0.5026737967914439,0.9782608695652174,0.709202284882948,0.0999230083302774,0.6287625418060201,0.9022556390977444,0.9150753939261388,0.0471974132236644,0.8576781466879541,0.9963191699604744,0.8442979357372493,0.0861705639828867,0.750266725907102,0.9904683280553128
feature_group_ablation,eda_bvp_temp,logistic_robust,5,4214,52,0.8429264409470129,0.046220732543486,0.7585798816568048,0.8886255924170616,0.8130594159793821,0.0696620479110331,0.7369149369149369,0.9248682476943346,0.7883144099632531,0.0560545660092061,0.7024524628195037,0.8591685305499344,0.8473645341881184,0.0431443070911705,0.7732617132872703,0.8954938192772728,0.6314923370297768,0.0818334308696945,0.4773519163763066,0.7213114754098361,0.7585709931174912,0.14045122568443,0.5661375661375662,0.9891304347826086,0.68150726595163,0.0824300322590362,0.5732217573221757,0.7947598253275109,0.8832807668886551,0.0666096543850755,0.7735321901468211,0.9649044795783924,0.7679543758978096,0.0861663280639889,0.6559615565017498,0.8726902261628793
feature_group_ablation,eda_bvp_temp,lgbm_clf,5,4214,52,0.8789685168167441,0.0367623812879329,0.8331360946745562,0.9300947867298578,0.8070526067749997,0.0504607216549892,0.7364170277931641,0.8690711462450593,0.8181786955463398,0.0474188981350656,0.7530156921188744,0.891111300624739,0.8758931376377326,0.0346307900520106,0.8343676573003601,0.9278561310921382,0.7966147742134976,0.1478331050338241,0.5912408759124088,1.0,0.6773315819905043,0.1259316500441272,0.5185185185185185,0.8481675392670157,0.7138753671315021,0.0740376326586624,0.6058823529411764,0.8259587020648967,0.9197808192361506,0.0776592065629531,0.769003942523867,0.9815135046113308,0.829835853232068,0.1105996623371587,0.6279829767256341,0.9312021022359154
feature_group_ablation,all,logistic_robust,5,4214,116,0.8437814171512722,0.1106364563850737,0.6236686390532544,0.9117997616209772,0.8029471720669393,0.1056096335659916,0.623444930111917,0.9139163372859024,0.7930484302817766,0.1141185916852238,0.573817136766777,0.8736176935229067,0.8479734135869084,0.0985853890327612,0.6536830383537633,0.911463379031444,0.7039186510473618,0.1977543749014671,0.3260273972602739,0.8962264150943396,0.7293219701632206,0.1472530094658516,0.5080213903743316,0.9293478260869564,0.693838401507752,0.1452322130581306,0.4280575539568345,0.8104265402843602,0.8784403488245198,0.1081266275126346,0.6664425124485647,0.9565876152832672,0.804480789081053,0.1336503216178758,0.5507643408510157,0.9410455494925316
feature_group_ablation,eda_bvp_temp_acc,logistic_robust,5,4214,116,0.8437814171512722,0.1106364563850737,0.6236686390532544,0.9117997616209772,0.8029471720669393,0.1056096335659916,0.623444930111917,0.9139163372859024,0.7930484302817766,0.1141185916852238,0.573817136766777,0.8736176935229067,0.8479734135869084,0.0985853890327612,0.6536830383537633,0.911463379031444,0.7039186510473618,0.1977543749014671,0.3260273972602739,0.8962264150943396,0.7293219701632206,0.1472530094658516,0.5080213903743316,0.9293478260869564,0.693838401507752,0.1452322130581306,0.4280575539568345,0.8104265402843602,0.8784403488245198,0.1081266275126346,0.6664425124485647,0.9565876152832672,0.804480789081053,0.1336503216178758,0.5507643408510157,0.9410455494925316
feature_group_ablation,eda_bvp,logistic_robust,5,4214,36,0.8237395673474456,0.0860658139756108,0.6627218934911243,0.8929845422116528,0.7962357478117672,0.0775131085563934,0.7005659894007077,0.9037549407114625,0.7711211029832021,0.0870036972903422,0.6256231840800661,0.8524475524475525,0.8302246404897489,0.0769796032027663,0.690197253468487,0.8922811785371028,0.6179848969148575,0.1349768116172839,0.3788659793814433,0.7722222222222223,0.7464133743343301,0.1238220261213809,0.544973544973545,0.9347826086956522,0.6642604878417486,0.1097863917942765,0.5077720207253886,0.7818181818181819,0.869004459075969,0.0783908986148944,0.7432313431640969,0.9572546113306982,0.749589490576586,0.1034912193741783,0.6186683442726887,0.8532996527926187
feature_group_ablation,eda_bvp_temp,hgb_clf,5,4214,52,0.878220995515442,0.0239244554022266,0.8335315101070154,0.9004739336492891,0.7782484811746974,0.0585780864937737,0.7034146818285492,0.8606521286645212,0.8020559958341815,0.0458636961349442,0.7272365031413903,0.845751068837969,0.8698726329485489,0.0278555270741478,0.8213835093109441,0.8916322711938485,0.8313872224563491,0.1190210156356137,0.6875,1.0,0.5980297564401243,0.1362010487293365,0.4444444444444444,0.8115183246073299,0.6796607041615222,0.0798433568817694,0.5569620253164557,0.7654320987654321,0.9245651763578748,0.0839550669811649,0.7592616728031019,0.9824664224664224,0.8310910252559479,0.1337628609568762,0.5766692123447782,0.9538624241055288
feature_group_ablation,acc_only,lgbm_clf,5,4214,64,0.8470791717537551,0.0892326087550307,0.6792899408284023,0.9179548156956004,0.7752656649163466,0.0793152339350163,0.6352380410578158,0.8486852823303248,0.7766951558964765,0.09902593315848,0.6490611030143092,0.8730999101209103,0.8429592390527034,0.0808437798174071,0.7054963929656203,0.9148149723053722,0.7785845620837859,0.1943188652728272,0.4014778325123153,0.912280701754386,0.6465860684251203,0.193948267610655,0.2780748663101604,0.8534031413612565,0.6572584204426851,0.1463870658422461,0.4262295081967213,0.7976539589442815,0.9016743482213564,0.0641692127446779,0.7878598247809763,0.974794137022398,0.8095928351920378,0.0937322822650383,0.6623731635669773,0.9239504157259733
feature_group_ablation,bvp_only,lgbm_clf,5,4214,18,0.8483356726304283,0.0162879057582164,0.8367103694874851,0.8804733727810651,0.7735049688909823,0.0449568390038775,0.7186336817125303,0.8291337285902504,0.7754528190557084,0.0301045742846096,0.7444271284271284,0.8269302915082383,0.8461254098448447,0.0176004999408612,0.8333336414670326,0.8796759226344485,0.6752431507787329,0.0524600007408489,0.5983935742971888,0.7445652173913043,0.6382499339992944,0.1143903377898429,0.4919786096256685,0.8097826086956522,0.6479657412894028,0.0542068130700721,0.5841269841269842,0.7306666666666667,0.8965747824204451,0.0237340111508229,0.8623522910131171,0.9321212994540244,0.6955016962230675,0.0563532834030123,0.6419137601778676,0.8036541762228545
