model,subjects,n_total,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,precision_stress_mean,precision_stress_std,precision_stress_min,precision_stress_max,recall_stress_mean,recall_stress_std,recall_stress_min,recall_stress_max,f1_stress_mean,f1_stress_std,f1_stress_min,f1_stress_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_std,average_precision_min,average_precision_max
logistic_robust,15,4214,0.8437880325229403,0.1392152030990982,0.425,1.0,0.8054719465017955,0.1250983746478599,0.5891774891774892,1.0,0.7892782767541334,0.1451553513434993,0.424992665722777,1.0,0.7466417054608118,0.2261991150745226,0.2714932126696832,1.0,0.7338420543982688,0.2336370810615418,0.35,1.0,0.6942237730305042,0.1783082916196312,0.3837209302325581,1.0,0.8951720753857955,0.1348217640399328,0.5398629148629149,1.0,0.8443136025796193,0.1623625122334534,0.4326694986068113,1.0
rf_clf,15,4214,0.8544975795388966,0.0821450027257259,0.7107142857142857,1.0,0.7571540648949564,0.1342243973444415,0.5,1.0,0.7575252674842562,0.1473373862159553,0.4365079365079365,1.0,0.7456593011654022,0.3019261663828323,0.0,1.0,0.5809839694389112,0.2930062534170658,0.0,1.0,0.6082116885164919,0.2558637083279024,0.0,1.0,0.9263687582672238,0.0878328174416545,0.6833424958768555,1.0,0.8387201597383718,0.1872389427102985,0.4103556751216746,1.0
hgb_clf,15,4214,0.8421258198882102,0.1367426429735763,0.3821428571428571,1.0,0.7563515998236319,0.1266309037523463,0.5,1.0,0.7530717881114731,0.1634770252699897,0.3808081195434035,1.0,0.7761534475061697,0.301624976374728,0.0,1.0,0.600775219947462,0.2800713905370598,0.0,1.0,0.6216447150623838,0.2378090200689832,0.0,1.0,0.9356570520268954,0.0908337241359574,0.6954370533260033,1.0,0.8585994475687095,0.1645084284707991,0.4644817977862397,1.0
lgbm_clf,15,4214,0.8465846721062238,0.1094053254803759,0.5107142857142857,1.0,0.7521936846676225,0.1172764640392149,0.5,1.0,0.7551733020923859,0.1456027683464087,0.4365079365079365,1.0,0.7634518262720411,0.2955260754169687,0.0,1.0,0.5809598990285865,0.2622528011118648,0.0,1.0,0.6149870124440808,0.2320608811474376,0.0,1.0,0.930143401687248,0.0961863571243445,0.6878092358438702,1.0,0.8647862800143208,0.1333164436271978,0.551651230201228,1.0
