feature_group,model,folds,n_val_total,n_features,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,precision_stress_mean,precision_stress_std,precision_stress_min,precision_stress_max,recall_stress_mean,recall_stress_std,recall_stress_min,recall_stress_max,f1_stress_mean,f1_stress_std,f1_stress_min,f1_stress_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_std,average_precision_min,average_precision_max
bvp_only,logistic_robust,5,4214,18,0.8424325804700195,0.020413619940067,0.8210900473933649,0.8680142687277052,0.834909681510949,0.022716731062925,0.8063369963369963,0.8620882740447958,0.7960235632436685,0.0153313049583408,0.7779926952892069,0.818889602415038,0.8495879725378016,0.0160136620030838,0.834518253730642,0.8710425015825956,0.6184503755172803,0.0561788111918991,0.5530546623794212,0.6907216494845361,0.8212182043760727,0.0876163248078394,0.7165775401069518,0.9347826086956522,0.6993840238474542,0.0177233760561183,0.6697674418604651,0.7245657568238213,0.8995807890204324,0.0254798400644268,0.8567283780049737,0.9284420289855072,0.738881152302193,0.0601628104190474,0.6774134386071565,0.8336826529374426
acc_only,logistic_robust,5,4214,64,0.8584825918084981,0.0518756264800786,0.8057210965435042,0.9537914691943128,0.8303284955061612,0.0755409905327672,0.7376590868455699,0.9626152832674572,0.8072508495172462,0.0655116349858566,0.7641142765556758,0.9359998133425108,0.8615087810769486,0.0485287542613564,0.8185726042886545,0.9550308879165732,0.682541260711276,0.1286235077673289,0.5436241610738255,0.8392857142857143,0.7797854946742826,0.1629846449757225,0.5026737967914439,0.9782608695652174,0.709202284882948,0.0999230083302774,0.6287625418060201,0.9022556390977444,0.9150753939261388,0.0471974132236644,0.8576781466879541,0.9963191699604744,0.8442979357372493,0.0861705639828867,0.750266725907102,0.9904683280553128
eda_bvp_temp,logistic_robust,5,4214,52,0.8429264409470129,0.046220732543486,0.7585798816568048,0.8886255924170616,0.8130594159793821,0.0696620479110331,0.7369149369149369,0.9248682476943346,0.7883144099632531,0.0560545660092061,0.7024524628195037,0.8591685305499344,0.8473645341881184,0.0431443070911705,0.7732617132872703,0.8954938192772728,0.6314923370297768,0.0818334308696945,0.4773519163763066,0.7213114754098361,0.7585709931174912,0.14045122568443,0.5661375661375662,0.9891304347826086,0.68150726595163,0.0824300322590362,0.5732217573221757,0.7947598253275109,0.8832807668886551,0.0666096543850755,0.7735321901468211,0.9649044795783924,0.7679543758978096,0.0861663280639889,0.6559615565017498,0.8726902261628793
all,logistic_robust,5,4214,116,0.8437814171512722,0.1106364563850737,0.6236686390532544,0.9117997616209772,0.8029471720669393,0.1056096335659916,0.623444930111917,0.9139163372859024,0.7930484302817766,0.1141185916852238,0.573817136766777,0.8736176935229067,0.8479734135869084,0.0985853890327612,0.6536830383537633,0.911463379031444,0.7039186510473618,0.1977543749014671,0.3260273972602739,0.8962264150943396,0.7293219701632206,0.1472530094658516,0.5080213903743316,0.9293478260869564,0.693838401507752,0.1452322130581306,0.4280575539568345,0.8104265402843602,0.8784403488245198,0.1081266275126346,0.6664425124485647,0.9565876152832672,0.804480789081053,0.1336503216178758,0.5507643408510157,0.9410455494925316
eda_bvp_temp_acc,logistic_robust,5,4214,116,0.8437814171512722,0.1106364563850737,0.6236686390532544,0.9117997616209772,0.8029471720669393,0.1056096335659916,0.623444930111917,0.9139163372859024,0.7930484302817766,0.1141185916852238,0.573817136766777,0.8736176935229067,0.8479734135869084,0.0985853890327612,0.6536830383537633,0.911463379031444,0.7039186510473618,0.1977543749014671,0.3260273972602739,0.8962264150943396,0.7293219701632206,0.1472530094658516,0.5080213903743316,0.9293478260869564,0.693838401507752,0.1452322130581306,0.4280575539568345,0.8104265402843602,0.8784403488245198,0.1081266275126346,0.6664425124485647,0.9565876152832672,0.804480789081053,0.1336503216178758,0.5507643408510157,0.9410455494925316
eda_bvp,logistic_robust,5,4214,36,0.8237395673474456,0.0860658139756108,0.6627218934911243,0.8929845422116528,0.7962357478117672,0.0775131085563934,0.7005659894007077,0.9037549407114625,0.7711211029832021,0.0870036972903422,0.6256231840800661,0.8524475524475525,0.8302246404897489,0.0769796032027663,0.690197253468487,0.8922811785371028,0.6179848969148575,0.1349768116172839,0.3788659793814433,0.7722222222222223,0.7464133743343301,0.1238220261213809,0.544973544973545,0.9347826086956522,0.6642604878417486,0.1097863917942765,0.5077720207253886,0.7818181818181819,0.869004459075969,0.0783908986148944,0.7432313431640969,0.9572546113306982,0.749589490576586,0.1034912193741783,0.6186683442726887,0.8532996527926187
eda_only,logistic_robust,5,4214,18,0.797646135095045,0.0911756235504069,0.6201183431952663,0.8696682464454977,0.7582618236020524,0.0924478714964975,0.6100317018108459,0.8617918313570487,0.736160186409355,0.0932501037642501,0.5661614053270764,0.8262243285939967,0.805334313802329,0.0812497052445221,0.6499938289276533,0.8752274207677275,0.564671242252656,0.1263285948550288,0.3174157303370786,0.6554621848739496,0.6869815525362793,0.1306940445314301,0.5053191489361702,0.8478260869565217,0.6111139721570853,0.118928231881962,0.413162705667276,0.7393364928909952,0.830878223274637,0.1076879309563944,0.6414413116223963,0.9356013198316075,0.7224639360153561,0.1185502375847709,0.5456040311948059,0.8766023792210865
temp_only,lgbm_clf,5,4214,16,0.7806012167453785,0.0717601744538171,0.6848341232227488,0.901072705601907,0.7093554741264747,0.1153870379514511,0.5221508563899868,0.8854945054945055,0.695163843283544,0.1093387659199858,0.5226081927054981,0.8653829424875845,0.7845573071560266,0.0725834855930454,0.6795584832059277,0.9034685461813406,0.4988553353820413,0.1573056707284149,0.2559523809523809,0.7431192660550459,0.5816698842081341,0.2024139728562616,0.233695652173913,0.8571428571428571,0.5345212365749312,0.1755876286101871,0.2443181818181818,0.7960687960687961,0.7645909980806771,0.1151775313876538,0.6145668642951252,0.9456817256817256,0.5243397389902159,0.1603762370163409,0.2918746513520874,0.794712684335732
