stage,experiment_family,model,folds,n_val_total,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,precision_stress_mean,precision_stress_std,precision_stress_min,precision_stress_max,recall_stress_mean,recall_stress_std,recall_stress_min,recall_stress_max,f1_stress_mean,f1_stress_std,f1_stress_min,f1_stress_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_std,average_precision_min,average_precision_max
baseline,wesad_stress_baseline,logistic_robust,5,4214,0.8437814171512722,0.1106364563850737,0.6236686390532544,0.9117997616209772,0.8029471720669393,0.1056096335659916,0.623444930111917,0.9139163372859024,0.7930484302817766,0.1141185916852238,0.573817136766777,0.8736176935229067,0.8479734135869084,0.0985853890327612,0.6536830383537633,0.911463379031444,0.7039186510473618,0.1977543749014671,0.3260273972602739,0.8962264150943396,0.7293219701632206,0.1472530094658516,0.5080213903743316,0.9293478260869564,0.693838401507752,0.1452322130581306,0.4280575539568345,0.8104265402843602,0.8784403488245198,0.1081266275126346,0.6664425124485647,0.9565876152832672,0.804480789081053,0.1336503216178758,0.5507643408510157,0.9410455494925316
baseline,wesad_stress_baseline,rf_clf,5,4214,0.8545541277185034,0.0646738850773458,0.7715976331360946,0.9265402843601896,0.7562526243666463,0.0696217396124402,0.6345060441171679,0.8452404479578393,0.7762074101278686,0.0833978667030086,0.6477232930706531,0.8804641812865497,0.8486266930685907,0.0609522142458078,0.7681570495769301,0.9223195726282531,0.7927803493423324,0.2336416159927281,0.4965753424657534,1.0,0.5791824269671537,0.1420137924245599,0.3670212765957447,0.7591623036649214,0.6454065665802171,0.1285220256074087,0.4299065420560747,0.80625,0.893803139658681,0.092576810822012,0.7469331400084717,0.9863980463980464,0.8100452084411742,0.1654378999329357,0.5187683944459643,0.9681801073587444
baseline,wesad_stress_baseline,hgb_clf,5,4214,0.8420753543109758,0.0926356586303935,0.6603550295857988,0.9082240762812872,0.7544979840166638,0.0300906244710237,0.7209849793098955,0.801925111925112,0.7703267518094729,0.0753918874852051,0.6326649005378664,0.8465111416807438,0.8379101120761696,0.0775652144185273,0.6879258046292142,0.8999879515507637,0.8243468901992308,0.231601268502375,0.3862559241706161,1.0,0.5973837179589618,0.1361700028322419,0.4787234042553192,0.8534031413612565,0.6484806970732386,0.0773577962993971,0.531810766721044,0.749185667752443,0.8983040232272475,0.0842595431810141,0.7985574074963575,0.9887179487179488,0.8216942848446204,0.1207727189992908,0.680581364231978,0.9646126260420208
baseline,wesad_stress_baseline,lgbm_clf,5,4214,0.8465433466724426,0.0801472332162552,0.693491124260355,0.914691943127962,0.7505526706892283,0.0415722725396545,0.6955174155289825,0.8141469038208169,0.7706129628446357,0.0730903938027649,0.6512765520109498,0.8563037371243721,0.8415347388745197,0.0675275509917107,0.717757323954741,0.907963190763236,0.8131200867097105,0.2198384500665119,0.4055555555555555,0.9894736842105264,0.577869577430668,0.1148247187602742,0.4308510638297872,0.7643979057591623,0.642562356411051,0.0899794409558938,0.52994555353902,0.7647058823529411,0.9040927771514212,0.0725368750843713,0.8119746385513232,0.9814970355731224,0.826393441114425,0.1080079212916608,0.6863952042169321,0.949601802735822
