model,all_balanced_accuracy,all_roc_auc,all_f1_stress,all_best_threshold,all_best_balanced_accuracy,no_acc_balanced_accuracy,no_acc_roc_auc,no_acc_f1_stress,no_acc_best_threshold,no_acc_best_balanced_accuracy,acc_only_balanced_accuracy,acc_only_roc_auc,acc_only_f1_stress,acc_only_best_threshold,acc_only_best_balanced_accuracy,bvp_only_balanced_accuracy,bvp_only_roc_auc,bvp_only_f1_stress,bvp_only_best_threshold,bvp_only_best_balanced_accuracy,eda_only_balanced_accuracy,eda_only_roc_auc,eda_only_f1_stress,eda_only_best_threshold,eda_only_best_balanced_accuracy,eda_bvp_temp_balanced_accuracy,eda_bvp_temp_roc_auc,eda_bvp_temp_f1_stress,eda_bvp_temp_best_threshold,eda_bvp_temp_best_balanced_accuracy,delta_all_minus_no_acc_balanced_accuracy,delta_no_acc_minus_acc_only_balanced_accuracy,delta_bvp_only_minus_acc_only_balanced_accuracy,delta_all_minus_no_acc_best_balanced_accuracy,delta_no_acc_minus_acc_only_best_balanced_accuracy
lgbm_clf,0.7505526706892283,0.9040927771514212,0.642562356411051,0.05,0.7981885878269069,0.8070526067749997,0.9197808192361506,0.7138753671315021,0.07,0.844548122495102,0.7752656649163466,0.9016743482213564,0.6572584204426851,0.15,0.7970603776959408,0.7735049688909823,0.8965747824204451,0.6479657412894028,0.12,0.8159536294092302,0.7189590112498413,0.8569406453672853,0.5633607328264215,0.06,0.766957864871676,0.8070526067749997,0.9197808192361506,0.7138753671315021,0.07,0.844548122495102,-0.0564999360857714,0.031786941858653,-0.0017606960253643,-0.046359534668195,0.0474877447991611
logistic_robust,0.8029471720669393,0.8784403488245198,0.693838401507752,0.45,0.8037442788739035,0.8130594159793821,0.8832807668886551,0.68150726595163,0.47,0.8147475387979741,0.8303284955061612,0.9150753939261388,0.709202284882948,0.65,0.8451591346974612,0.834909681510949,0.8995807890204324,0.6993840238474542,0.49,0.8361770276971603,0.7582618236020524,0.830878223274637,0.6111139721570853,0.55,0.766560007804307,0.8130594159793821,0.8832807668886551,0.68150726595163,0.47,0.8147475387979741,-0.0101122439124428,-0.017269079526779,0.0045811860047878,-0.0110032599240705,-0.030411595899487
