stage,feature_group,model,folds,n_val_total,n_features,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,precision_stress_mean,precision_stress_std,precision_stress_min,precision_stress_max,recall_stress_mean,recall_stress_std,recall_stress_min,recall_stress_max,f1_stress_mean,f1_stress_std,f1_stress_min,f1_stress_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_std,average_precision_min,average_precision_max
protocol_control,bvp_temp,logistic_robust,5,4214,34,0.8426625407771524,0.0096984487436677,0.8275862068965517,0.8542654028436019,0.842779294194995,0.0352109523955319,0.7942800821087616,0.8989789196310936,0.798000400208247,0.0169691108238118,0.7702969215323208,0.8216334630550759,0.8505144085411125,0.0105132717941865,0.8337243446141478,0.864660619119725,0.6061376251904932,0.0135551565630816,0.592274678111588,0.62882096069869,0.8428023030327811,0.0855964379316458,0.7340425531914894,0.9782608695652174,0.7032221465621361,0.0298759747976212,0.6555819477434679,0.7453416149068323,0.9088925395234956,0.0263199769476861,0.8736355934964649,0.9448863636363636,0.76765079119852,0.055254416551914,0.6875813511599169,0.8382218777537113
protocol_control,bvp_only,logistic_robust,5,4214,18,0.8424325804700195,0.020413619940067,0.8210900473933649,0.8680142687277052,0.834909681510949,0.022716731062925,0.8063369963369963,0.8620882740447958,0.7960235632436685,0.0153313049583408,0.7779926952892069,0.818889602415038,0.8495879725378016,0.0160136620030838,0.834518253730642,0.8710425015825956,0.6184503755172803,0.0561788111918991,0.5530546623794212,0.6907216494845361,0.8212182043760727,0.0876163248078394,0.7165775401069518,0.9347826086956522,0.6993840238474542,0.0177233760561183,0.6697674418604651,0.7245657568238213,0.8995807890204324,0.0254798400644268,0.8567283780049737,0.9284420289855072,0.738881152302193,0.0601628104190474,0.6774134386071565,0.8336826529374426
protocol_control,acc_only,logistic_robust,5,4214,64,0.8584825918084981,0.0518756264800786,0.8057210965435042,0.9537914691943128,0.8303284955061612,0.0755409905327672,0.7376590868455699,0.9626152832674572,0.8072508495172462,0.0655116349858566,0.7641142765556758,0.9359998133425108,0.8615087810769486,0.0485287542613564,0.8185726042886545,0.9550308879165732,0.682541260711276,0.1286235077673289,0.5436241610738255,0.8392857142857143,0.7797854946742826,0.1629846449757225,0.5026737967914439,0.9782608695652174,0.709202284882948,0.0999230083302774,0.6287625418060201,0.9022556390977444,0.9150753939261388,0.0471974132236644,0.8576781466879541,0.9963191699604744,0.8442979357372493,0.0861705639828867,0.750266725907102,0.9904683280553128
protocol_control,eda_bvp_temp,logistic_robust,5,4214,52,0.8429264409470129,0.046220732543486,0.7585798816568048,0.8886255924170616,0.8130594159793821,0.0696620479110331,0.7369149369149369,0.9248682476943346,0.7883144099632531,0.0560545660092061,0.7024524628195037,0.8591685305499344,0.8473645341881184,0.0431443070911705,0.7732617132872703,0.8954938192772728,0.6314923370297768,0.0818334308696945,0.4773519163763066,0.7213114754098361,0.7585709931174912,0.14045122568443,0.5661375661375662,0.9891304347826086,0.68150726595163,0.0824300322590362,0.5732217573221757,0.7947598253275109,0.8832807668886551,0.0666096543850755,0.7735321901468211,0.9649044795783924,0.7679543758978096,0.0861663280639889,0.6559615565017498,0.8726902261628793
protocol_control,no_acc,logistic_robust,5,4214,52,0.8429264409470129,0.046220732543486,0.7585798816568048,0.8886255924170616,0.8130594159793821,0.0696620479110331,0.7369149369149369,0.9248682476943346,0.7883144099632531,0.0560545660092061,0.7024524628195037,0.8591685305499344,0.8473645341881184,0.0431443070911705,0.7732617132872703,0.8954938192772728,0.6314923370297768,0.0818334308696945,0.4773519163763066,0.7213114754098361,0.7585709931174912,0.14045122568443,0.5661375661375662,0.9891304347826086,0.68150726595163,0.0824300322590362,0.5732217573221757,0.7947598253275109,0.8832807668886551,0.0666096543850755,0.7735321901468211,0.9649044795783924,0.7679543758978096,0.0861663280639889,0.6559615565017498,0.8726902261628793
protocol_control,eda_bvp_temp,lgbm_clf,5,4214,52,0.8789685168167441,0.0367623812879329,0.8331360946745562,0.9300947867298578,0.8070526067749997,0.0504607216549892,0.7364170277931641,0.8690711462450593,0.8181786955463398,0.0474188981350656,0.7530156921188744,0.891111300624739,0.8758931376377326,0.0346307900520106,0.8343676573003601,0.9278561310921382,0.7966147742134976,0.1478331050338241,0.5912408759124088,1.0,0.6773315819905043,0.1259316500441272,0.5185185185185185,0.8481675392670157,0.7138753671315021,0.0740376326586624,0.6058823529411764,0.8259587020648967,0.9197808192361506,0.0776592065629531,0.769003942523867,0.9815135046113308,0.829835853232068,0.1105996623371587,0.6279829767256341,0.9312021022359154
protocol_control,no_acc,lgbm_clf,5,4214,52,0.8789685168167441,0.0367623812879329,0.8331360946745562,0.9300947867298578,0.8070526067749997,0.0504607216549892,0.7364170277931641,0.8690711462450593,0.8181786955463398,0.0474188981350656,0.7530156921188744,0.891111300624739,0.8758931376377326,0.0346307900520106,0.8343676573003601,0.9278561310921382,0.7966147742134976,0.1478331050338241,0.5912408759124088,1.0,0.6773315819905043,0.1259316500441272,0.5185185185185185,0.8481675392670157,0.7138753671315021,0.0740376326586624,0.6058823529411764,0.8259587020648967,0.9197808192361506,0.0776592065629531,0.769003942523867,0.9815135046113308,0.829835853232068,0.1105996623371587,0.6279829767256341,0.9312021022359154
protocol_control,all,logistic_robust,5,4214,116,0.8437814171512722,0.1106364563850737,0.6236686390532544,0.9117997616209772,0.8029471720669393,0.1056096335659916,0.623444930111917,0.9139163372859024,0.7930484302817766,0.1141185916852238,0.573817136766777,0.8736176935229067,0.8479734135869084,0.0985853890327612,0.6536830383537633,0.911463379031444,0.7039186510473618,0.1977543749014671,0.3260273972602739,0.8962264150943396,0.7293219701632206,0.1472530094658516,0.5080213903743316,0.9293478260869564,0.693838401507752,0.1452322130581306,0.4280575539568345,0.8104265402843602,0.8784403488245198,0.1081266275126346,0.6664425124485647,0.9565876152832672,0.804480789081053,0.1336503216178758,0.5507643408510157,0.9410455494925316
protocol_control,eda_bvp,logistic_robust,5,4214,36,0.8237395673474456,0.0860658139756108,0.6627218934911243,0.8929845422116528,0.7962357478117672,0.0775131085563934,0.7005659894007077,0.9037549407114625,0.7711211029832021,0.0870036972903422,0.6256231840800661,0.8524475524475525,0.8302246404897489,0.0769796032027663,0.690197253468487,0.8922811785371028,0.6179848969148575,0.1349768116172839,0.3788659793814433,0.7722222222222223,0.7464133743343301,0.1238220261213809,0.544973544973545,0.9347826086956522,0.6642604878417486,0.1097863917942765,0.5077720207253886,0.7818181818181819,0.869004459075969,0.0783908986148944,0.7432313431640969,0.9572546113306982,0.749589490576586,0.1034912193741783,0.6186683442726887,0.8532996527926187
protocol_control,bvp_temp,lgbm_clf,5,4214,34,0.8524604526313591,0.055252833611319,0.754739336492891,0.9213349225268176,0.7884769234908285,0.0582832737983156,0.7099143610013176,0.8559488928382728,0.7893236397105711,0.0658468949780537,0.6813706090156864,0.8782774993405433,0.8529959155287404,0.0496045131263914,0.7676015084703763,0.9180560005206484,0.7059307801395618,0.1608973825729971,0.4549019607843137,0.9072847682119204,0.6732328980952702,0.1039030778514141,0.5080213903743316,0.8219895287958116,0.6747673932174861,0.0956901603781423,0.5284738041002278,0.8058823529411765,0.9076004845453494,0.0543830682371416,0.8209568511198946,0.981994301994302,0.7659308010743532,0.1129535199110031,0.622625125709551,0.9372548370238962
