record_id,subject_id,t_center,original_index,pm_anomaly_score,pm_anomaly_score_max,feature_anomaly_score,combined_anomaly_score,anomaly_threshold,is_anomaly,target_attention,target_engagement,target_excitement,target_stress,target_relaxation,target_interest,target_focus
Old_EEG__1081b177__day1____2023.12.08T11.39.57p03.00,1081b177,2480.0,1575,0.7838904502615333,4.552554354933001,185.85454,27.247038852080642,20.37091060104527,True,0.110911,0.589984,0.347912,0.498256,0.206174,0.566229,0.467434
Old_EEG__1081b177__day1____2023.12.08T11.39.57p03.00,1081b177,2820.0,1609,1.026707497877567,2.82859375584974,160.29143,23.92340596577765,20.37091060104527,True,0.665624,0.541134,0.816675,0.707951,0.270916,0.593767,0.606714
Old_EEG__1081b177__day1____2023.12.08T11.39.57p03.00,1081b177,3170.0,1644,2.346354630842197,5.583568435968617,126.53465,21.578729416204304,20.37091060104527,True,0.73053,0.61962,0.923359,0.837927,0.357038,0.7573,0.611714
Old_EEG__1081b177__day1____2023.12.08T11.39.57p03.00,1081b177,3410.0,1668,0.5916042437922572,2.6980760669656445,204.1471,30.364700151669222,20.37091060104527,True,0.332544,0.732714,0.318108,0.510213,0.317155,0.496155,0.389134
Old_EEG__1081b177__day1____2023.12.08T11.39.57p03.00,1081b177,3600.0,1687,0.6427505552744519,2.3023388288271374,141.84131,20.974808293391494,20.37091060104527,True,0.77856,0.58544,0.388723,0.491394,0.308991,0.525304,0.544757
Old_EEG__1081b177__day1____2023.12.08T11.39.57p03.00,1081b177,4490.0,1776,0.9332311443202589,2.1681616161687494,306.5908,45.536936831182565,20.37091060104527,True,0.66342,0.553661,0.728498,0.554262,0.464442,0.558853,0.558904
Old_EEG__1081b177__day1____2023.12.08T11.39.57p03.00,1081b177,4610.0,1788,1.6391772784470002,4.627008625782535,212.10837,32.892720617783745,20.37091060104527,True,0.382055,0.665766,0.813054,0.67845,0.550439,0.744253,0.564631
Old_EEG__1081b177__day1____2023.12.08T11.39.57p03.00,1081b177,4780.0,1805,0.7043636818520133,2.1951329334871,6225.784,927.5732841806077,20.37091060104527,True,0.318823,0.497997,0.14648,0.314561,0.08212,0.38486,0.339906
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,70.0,1812,1.2397703244478808,5.390880678040316,349.60968,52.57227289039886,20.37091060104527,True,0.450514,0.705244,0.608775,0.570991,0.421728,0.586125,0.477079
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,440.0,1849,3.1259878039853666,9.181760739654992,141.90598,25.45663099185974,20.37091060104527,True,0.467365,0.63634,0.946576,0.990449,0.573528,0.671963,0.642131
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,870.0,1892,0.7919615164367305,2.5852267377224427,970.2853,144.16344126848855,20.37091060104527,True,0.489214,0.659269,0.351913,0.555132,0.323246,0.520166,0.559142
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,1140.0,1919,2.997372024458919,11.41167130207431,417.91144,66.3294499562906,20.37091060104527,True,0.519765,0.737129,0.787672,0.907675,0.582774,0.718132,0.489779
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,1550.0,1960,1.7900564191074761,10.131900133946907,723.9838,109.48749856767053,20.37091060104527,True,0.469998,0.579276,0.455811,0.706054,0.418791,0.684943,0.46293
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,1830.0,1988,1.6210318442179452,6.746466695499855,579.96936,87.6801511599017,20.37091060104527,True,0.588298,0.779636,0.366899,0.580161,0.319707,0.636613,0.576082
Old_EEG__20201194__day1____2023.12.03T22.02.18p03.00,20201194,2000.0,2005,2.8459716829703514,12.514174235072435,774.88745,119.22337621335225,20.37091060104527,True,0.620333,0.639153,0.533267,0.724185,0.495285,0.751785,0.597625
