fold,target,mae,rmse,r2,pearson,spearman
1,target_attention,0.09484557062387466,0.12367383237242836,0.10510826110839844,0.5165725946426392,0.49744059596979956
1,target_engagement,0.08810334652662277,0.10938859752873387,0.20739281177520752,0.49870237708091736,0.48586593228853614
1,target_excitement,0.12950006127357483,0.17424595368119047,0.3948233723640442,0.6674805283546448,0.6183169206883977
1,target_stress,0.10496915131807327,0.1531872749202449,0.1506602168083191,0.47190266847610474,0.42434883338312135
1,target_relaxation,0.11416085809469223,0.14583488801286426,0.1214829683303833,0.5671861171722412,0.5386976082205086
1,target_interest,0.06964452564716339,0.09512259587415436,0.20927095413208008,0.48989933729171753,0.4450204830635585
1,target_focus,0.08285843580961227,0.10666484679948902,0.27043312788009644,0.5419490933418274,0.4961863369468294
2,target_attention,0.09967901557683945,0.1276806452960962,-0.20363104343414307,0.3312804400920868,0.3525055434441562
2,target_engagement,0.11674962937831879,0.15079681854713403,-0.2432941198348999,0.4391082227230072,0.3705751189963409
2,target_excitement,0.1190367266535759,0.16099051926224686,0.5306441783905029,0.7402403950691223,0.7034937641408342
2,target_stress,0.07070206850767136,0.09948350864025376,0.19222640991210938,0.5592446327209473,0.4625315568533888
2,target_relaxation,0.10632528364658356,0.13321477609730054,0.3231540322303772,0.5887719988822937,0.5269526917372355
2,target_interest,0.04521802440285683,0.06350677578150646,0.3040958046913147,0.607285737991333,0.48150700359770876
2,target_focus,0.08448531478643417,0.11023120730936144,0.26337361335754395,0.5488272905349731,0.5204781692120835
3,target_attention,0.10662699490785599,0.13555369566101166,0.03218108415603638,0.4750836193561554,0.4469937029814113
3,target_engagement,0.09105085581541061,0.11490056617680738,-0.01981496810913086,0.5540991425514221,0.435439195805058
3,target_excitement,0.11247368901968002,0.1478740009933546,0.5807416439056396,0.7896215915679932,0.7149306875648186
3,target_stress,0.09235123544931412,0.13025923369840436,0.01216048002243042,0.5336127281188965,0.4148495693398749
3,target_relaxation,0.09694355726242065,0.12512076028277613,0.4481712579727173,0.6789456605911255,0.6401384126319936
3,target_interest,0.061673153191804886,0.08477890859844484,0.22548967599868774,0.5719146728515625,0.48810574500439735
3,target_focus,0.07743484526872635,0.10051226000799279,0.2632903456687927,0.6070815920829773,0.5948380377107588
4,target_attention,0.0816982313990593,0.10492269123694399,0.3378469944000244,0.5872175097465515,0.5588965492327129
4,target_engagement,0.0885658860206604,0.11308777664349332,0.35594475269317627,0.6354334950447083,0.5985926846520547
4,target_excitement,0.12467343360185623,0.1715396513949861,0.4785459637641907,0.7183261513710022,0.6874204684691076
4,target_stress,0.0832953080534935,0.12079558658147119,0.19986426830291748,0.5765570998191833,0.49925828187097004
4,target_relaxation,0.10014559328556061,0.12979151449709933,0.45683038234710693,0.7003885507583618,0.6911674583713747
4,target_interest,0.06264373660087585,0.08685553648293876,0.1853819489479065,0.4839063286781311,0.4146754125307782
4,target_focus,0.09211219102144241,0.12048607681219264,0.19244813919067383,0.5272492170333862,0.5050742636478799
5,target_attention,0.09592992067337036,0.12168032338326791,-0.005449771881103516,0.313960999250412,0.3235496458357951
5,target_engagement,0.09292329847812653,0.11915071632297593,0.0899166464805603,0.4054265022277832,0.3536877081616715
5,target_excitement,0.13904422521591187,0.17663030082161713,0.19342678785324097,0.5057413578033447,0.3975375646089799
5,target_stress,0.09184238314628601,0.13542234350801022,0.18837469816207886,0.4709809720516205,0.45277375854084445
5,target_relaxation,0.11248748749494553,0.14097575974123555,0.2971840500831604,0.5532347559928894,0.5072515528919401
5,target_interest,0.06754208356142044,0.09174745832562035,0.14665496349334717,0.43592870235443115,0.31615840508173804
5,target_focus,0.09444952011108398,0.12134488275595066,-0.1370030641555786,0.309154212474823,0.24373589586689204
