feature,real_mean,synthetic_mean,real_std,synthetic_std,mean_abs_diff,std_abs_diff
POW.T7.BetaL__max,66.797165,27.86358,1606.9315,1748.8138,38.933586,141.88232
POW.T7.Gamma__mean,3.1003933,0.9248377,65.81948,73.71075,2.1755557,7.891266
POW.T7.Gamma__std,2.605706,1.3523871,54.184322,47.02624,1.2533189,7.158081
POW.T7.Gamma__min,0.37541014,0.02814387,6.8403563,9.610387,0.34726626,2.7700305
POW.T7.Gamma__max,11.273113,3.276882,240.26332,198.28836,7.996231,41.97496
POW.T7.Theta__mean,161.44313,0.39261073,4317.4272,4659.1753,161.05052,341.74805
POW.T7.Theta__std,120.16723,80.28672,2596.4739,2743.7512,39.88051,147.27734
POW.T7.Theta__min,7.044838,-25.030472,337.85703,660.9288,32.07531,323.07175
POW.T7.Theta__max,476.34778,196.76414,10154.45,11583.304,279.58362,1428.8535
POW.T8.Alpha__mean,108.39487,66.94243,1926.095,1570.3823,41.45244,355.71265
POW.T8.Alpha__std,94.9508,64.47766,1558.3052,1128.5066,30.473137,429.79858
POW.T8.Alpha__min,9.464896,-8.807495,210.61108,203.98546,18.272392,6.6256256
POW.T8.Alpha__max,386.5868,247.87875,6279.4224,4654.9053,138.70804,1624.5171
POW.T8.BetaH__mean,26.181921,11.254769,431.47235,338.2569,14.927152,93.215454
POW.T8.BetaH__std,20.16798,9.964314,311.7365,233.31732,10.203666,78.41919
POW.T8.BetaH__min,3.1801925,-1.5084374,69.81975,50.954712,4.68863,18.865036
POW.T8.BetaH__max,81.9355,24.480387,1259.7621,958.19165,57.455116,301.57043
POW.T8.BetaL__mean,54.968197,42.673466,925.2548,776.8885,12.294731,148.36633
POW.T8.BetaL__std,46.622,47.363396,752.7396,589.7578,0.74139404,162.98181
POW.T8.BetaL__min,5.031426,-2.9453778,116.48183,89.55315,7.976804,26.92868
POW.T8.BetaL__max,194.25058,182.574,3194.8882,2468.906,11.676575,725.9822
POW.T8.Gamma__mean,10.846566,7.1319537,174.13031,129.59369,3.7146125,44.53662
POW.T8.Gamma__std,8.165675,7.925281,128.19838,95.656456,0.24039412,32.541924
POW.T8.Gamma__min,1.4792672,0.027791904,26.655716,20.472244,1.4514754,6.1834717
POW.T8.Gamma__max,33.58207,26.35585,516.87335,379.47632,7.226219,137.39703
POW.T8.Theta__mean,262.41968,129.77534,4820.2183,4239.3384,132.64433,580.8799
POW.T8.Theta__std,209.07031,194.26753,3117.8064,2613.479,14.80278,504.3274
POW.T8.Theta__min,25.453854,-30.536325,683.1289,604.6917,55.99018,78.437195
POW.T8.Theta__max,857.72833,599.56647,12867.984,10978.113,258.16187,1889.8711
EEG.AF3__mean,4285.3594,4286.6294,97.72181,93.389824,1.2700195,4.3319855
EEG.AF3__std,77.30028,70.85763,157.95085,131.25778,6.44265,26.69307
EEG.AF3__min,4081.0396,4097.077,410.0608,330.95068,16.037598,79.11011
EEG.AF3__max,4555.5264,4550.482,406.42383,308.75464,5.0444336,97.66919
EEG.AF3__median,4283.6997,4283.8657,129.5758,124.25978,0.16601562,5.316025
EEG.AF3__robust_iqr,67.39211,63.164963,165.33263,95.3094,4.22715,70.023224
EEG.AF3__skew,0.984493,0.9405083,1.4221694,0.97215044,0.04398471,0.450019
EEG.AF3__kurt,5.319127,4.302021,8.169555,4.37921,1.017106,3.7903447
EEG.AF3__signal_energy,1.8404884e+07,1.840071e+07,1.1381499e+06,1.2009519e+06,4174.0,62802.0
EEG.AF3__zero_crossing_rate,0.05084278,0.047432244,0.03628812,0.023200816,0.0034105368,0.013087304
EEG.AF3__line_length,10116.156,10067.404,12706.182,12398.568,48.751953,307.61328
EEG.AF3__mean_abs_diff,4.0766997,4.059727,5.19505,5.268722,0.016972542,0.073672295
EEG.F7__mean,4270.987,4271.3027,94.59724,96.23123,0.31591797,1.633995
EEG.F7__std,95.41731,88.693115,169.06941,137.5459,6.7241974,31.523514
EEG.F7__min,4023.8308,4042.984,432.59818,342.14972,19.153076,90.448456
