target,tabular_model,tabular_validation,tabular_folds,tabular_n_val_total,tabular_mae,tabular_rmse,tabular_r2,tabular_pearson,tabular_spearman,context_model,context_validation,context_folds,context_n_val_total,context_mae,context_rmse,context_r2,context_pearson,context_spearman,mha_len3_model,mha_len3_validation,mha_len3_folds,mha_len3_n_val_total,mha_len3_mae,mha_len3_rmse,mha_len3_r2,mha_len3_pearson,mha_len3_spearman,mha_len5_model,mha_len5_validation,mha_len5_folds,mha_len5_n_val_total,mha_len5_mae,mha_len5_rmse,mha_len5_r2,mha_len5_pearson,mha_len5_spearman,delta_context_vs_tabular_mae,delta_context_vs_tabular_rmse,delta_context_vs_tabular_r2,delta_context_vs_tabular_pearson,delta_context_vs_tabular_spearman,delta_mha_len3_vs_context_mae,delta_mha_len3_vs_context_rmse,delta_mha_len3_vs_context_r2,delta_mha_len3_vs_context_pearson,delta_mha_len3_vs_context_spearman,delta_mha_len3_vs_tabular_mae,delta_mha_len3_vs_tabular_rmse,delta_mha_len3_vs_tabular_r2,delta_mha_len3_vs_tabular_pearson,delta_mha_len3_vs_tabular_spearman,delta_mha_len5_vs_mha_len3_mae,delta_mha_len5_vs_mha_len3_rmse,delta_mha_len5_vs_mha_len3_r2,delta_mha_len5_vs_mha_len3_pearson,delta_mha_len5_vs_mha_len3_spearman,delta_mha_len5_vs_context_mae,delta_mha_len5_vs_context_rmse,delta_mha_len5_vs_context_r2,delta_mha_len5_vs_context_pearson,delta_mha_len5_vs_context_spearman
attention,,,,,,,,,,hgb_reg,groupkfold_subject,5,42932,0.0887371584972315,0.113217129403674,0.2028370711051725,0.4718174652636421,0.4554669742746354,unknown_model,groupkfold_subject,2,4013,0.0885818339884281,0.1143175652663204,0.2094320654869079,0.492220401763916,0.4907273898882942,unknown_model,groupkfold_subject,2,3988,0.0931136533617973,0.1191030825492127,0.1926003098487854,0.449954405426979,0.4432825140249393,,,,,,-0.00015532450880340054,0.0011004358626464095,0.006594994381735414,0.020402936500273916,0.03526041561365878,,,,,,0.004531819373369203,0.004785517282892296,-0.016831755638122503,-0.042265996336937006,-0.047444875863354885,0.0043764948645658025,0.005885953145538705,-0.010236761256387089,-0.02186305983666309,-0.012184460249696105
engagement,,,,,,,,,,hgb_reg,groupkfold_subject,5,47994,0.0855283226431275,0.108126381772253,0.3057379131623898,0.5949037046385733,0.5036842338609959,unknown_model,groupkfold_subject,2,3984,0.0854118801653385,0.1086513082083729,0.2736085951328277,0.5388145446777344,0.4800139546017574,unknown_model,groupkfold_subject,2,4007,0.0869099870324134,0.11058367520226,0.2559715807437897,0.5255804061889648,0.4322937910281956,,,,,,-0.00011644247778899719,0.0005249264361198991,-0.03212931802956209,-0.056089159960838963,-0.023670279259238536,,,,,,0.001498106867074897,0.0019323669938871024,-0.01763701438903803,-0.013234138488769531,-0.04772016357356179,0.0013816643892858999,0.0024572934300070015,-0.04976633241860012,-0.0693232984496085,-0.07139044283280033
excitement,,,,,,,,,,lgbm_reg,groupkfold_subject,5,50700,0.1118404480344853,0.1505429604314679,0.5793522059460183,0.775389775918524,0.7184416913859561,unknown_model,groupkfold_subject,2,4019,0.1122204326093196,0.1519758883173476,0.581466794013977,0.7838267087936401,0.708645814039113,unknown_model,groupkfold_subject,2,3964,0.1332930698990821,0.1797419201256679,0.4266933500766754,0.7035978734493256,0.6280724070234515,,,,,,0.00037998457483430503,0.0014329278858797034,0.0021145880679587226,0.008436932875116154,-0.009795877346843174,,,,,,0.021072637289762497,0.027766031808320296,-0.15477344393730164,-0.08022883534431458,-0.08057340701566151,0.021452621864596802,0.0291989596942,-0.1526588558693429,-0.07179190246919842,-0.09036928436250469
stress,,,,,,,,,,hgb_reg,groupkfold_subject,5,45137,0.0795818654608063,0.1102704584901058,0.3473482799715739,0.6123564194079211,0.5017259576192454,unknown_model,groupkfold_subject,2,3986,0.0845443122088909,0.1163340670781074,0.1794556677341461,0.4743398129940033,0.3646453310791949,unknown_model,groupkfold_subject,2,3977,0.0853106379508972,0.1206236786795034,0.245455116033554,0.5658227503299713,0.4882707725093806,,,,,,0.0049624467480846035,0.00606360858800159,-0.16789261223742782,-0.13801660641391778,-0.13708062654005054,,,,,,0.0007663257420063019,0.004289611601396001,0.0659994482994079,0.09148293733596802,0.12362544143018572,0.005728772490090905,0.010353220189397591,-0.10189316393801992,-0.04653366907794976,-0.01345518510986482
relaxation,,,,,,,,,,hgb_reg,groupkfold_subject,5,45147,0.0984503725218225,0.1248772782513525,0.4264209702696673,0.672848942597288,0.6424558803134877,unknown_model,groupkfold_subject,2,3974,0.1037507951259613,0.1341852766958308,0.3814065456390381,0.6573197841644287,0.6539240240354074,unknown_model,groupkfold_subject,2,4020,0.1066170111298561,0.1374048721457307,0.248519092798233,0.5531227737665176,0.5123823179878267,,,,,,0.0053004226041388075,0.0093079984444783,-0.04501442463062921,-0.015529158432859291,0.011468143721919732,,,,,,0.002866216003894792,0.003219595449899887,-0.13288745284080508,-0.10419701039791107,-0.14154170604758065,0.0081666386080336,0.012527593894378186,-0.1779018774714343,-0.11972616883077036,-0.13007356232566092
interest,,,,,,,,,,hgb_reg,groupkfold_subject,5,45193,0.0600807750384708,0.0820682673716648,0.2740499962537746,0.5635705386617176,0.4648925826034519,unknown_model,groupkfold_subject,2,3994,0.06967169418931,0.0976205387193293,0.1282311379909515,0.3715107887983322,0.3564160304263391,unknown_model,groupkfold_subject,2,4019,0.0617788285017013,0.0842022648013579,0.1231535673141479,0.3959695398807525,0.3398933461252216,,,,,,0.009590919150839206,0.0155522713476645,-0.14581885826282306,-0.19205974986338537,-0.10847655217711277,,,,,,-0.007892865687608705,-0.013418273917971402,-0.005077570676803617,0.024458751082420294,-0.01652268430111753,0.0016980534632305005,0.002133997429693099,-0.15089642893962668,-0.16760099878096507,-0.1249992364782303
focus,rf_reg,groupkfold_subject,5.0,,0.0887293850158883,0.1147481406948434,0.1454532140879564,0.4097903643234606,0.3914668210999438,lgbm_reg,groupkfold_subject,5,45137,0.0774703904210007,0.1000408432105869,0.3446953414267282,0.6108946921855358,0.5682108853546323,unknown_model,groupkfold_subject,2,3986,0.0889948792755603,0.1126605370938433,0.1688259840011596,0.4867721796035766,0.4517219593937142,unknown_model,groupkfold_subject,2,3977,0.0784440077841281,0.1007856762469905,0.3068277537822723,0.5594163089990616,0.5371583773572461,-0.011258994594887592,-0.014707297484256504,0.1992421273387718,0.20110432786207522,0.17674406425468847,0.01152448885455959,0.0126196938832564,-0.17586935742556858,-0.12412251258195922,-0.11648892596091809,0.00026549425967199725,-0.0020876036010001042,0.023372769913203223,0.076981815280116,0.06025513829377038,-0.01055087149143219,-0.011874860846852797,0.13800176978111267,0.07264412939548498,0.08543641796353196,0.0009736173631273992,0.0007448330364036027,-0.03786758764445591,-0.05147838318647424,-0.031052507997386125
