target_name,model,mae_mean,rmse_mean,r2_mean,pearson_mean,spearman_mean
excitement,hgb_reg,0.14322915655525809,0.18692372147788106,0.3543158381161768,0.6041598316286235,0.5440143036022407
relaxation,hgb_reg,0.11585493901722341,0.14537138879626682,0.23403394556411375,0.5072762838880017,0.4775741920231914
engagement,lgbm_reg,0.08845944591395549,0.11266250281393937,0.2645485897818002,0.5461940924370887,0.46459458209344895
attention,lgbm_reg,0.09281662368313606,0.11875665850646962,0.12104501849115719,0.41835870547023396,0.4098433723772586
focus,rf_reg,0.08869728810361596,0.11469848235022198,0.14611205508521496,0.41069594849066926,0.39228742003273287
interest,lgbm_reg,0.06449151761571678,0.08837173442067872,0.17202742922836084,0.4501717380501633,0.3560532297015535
stress,rf_reg,0.0889746566260037,0.1260919880294579,0.14915746587170325,0.4386289803839435,0.34954986356301504
