target_name,target_col,validation,split_id,model,n_train,n_test,n_train_subjects,n_test_subjects,elapsed_s,mae,mse,rmse,r2,pearson,spearman
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_1,1,hgb_reg,34570,8605,43,10,13.648747682571411,0.09681252040990418,0.015267863249035571,0.12356319536591619,0.1853583773109122,0.44867791847858035,0.44089025088463035
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_1,1,rf_reg,34570,8605,43,10,434.6001310348511,0.0973974045479491,0.015534466783608676,0.12463734104837393,0.17113331303854262,0.42641345245443857,0.4126008395176092
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_1,1,lgbm_reg,34570,8605,43,10,17.786927223205566,0.09649805684588218,0.015152564787475339,0.12309575454691904,0.1915103138515356,0.4604018327523787,0.450926868959483
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_2,2,hgb_reg,34582,8593,43,10,14.897217035293579,0.08605791107967942,0.01230264135911814,0.11091727259141446,0.11064546563914779,0.45897278404972003,0.4589328914535901
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_2,2,rf_reg,34582,8593,43,10,471.26687264442444,0.08575616680477423,0.01232665710078967,0.11102547951164034,0.10890937432931003,0.43112916073852386,0.43508423294255333
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_2,2,lgbm_reg,34582,8593,43,10,21.844049215316772,0.08696091398179498,0.012442346991150561,0.11154526879769738,0.1005461842168135,0.47131521597838894,0.4716551049328488
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_3,3,hgb_reg,34515,8660,42,11,15.641032934188843,0.10170531533287744,0.016423856759897968,0.12815559589771322,0.12946892550173617,0.40099916481095177,0.4000331028614878
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_3,3,rf_reg,34515,8660,42,11,445.23815846443176,0.09868685032721193,0.015905847026071545,0.12611838496457028,0.15692554405247394,0.41566760634831196,0.41479614127698
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_3,3,lgbm_reg,34515,8660,42,11,15.404003620147705,0.10103512593416356,0.016277273756974815,0.12758241946669147,0.13723841965303984,0.41439658247847005,0.41240470689681225
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_4,4,hgb_reg,34560,8615,42,11,14.74010181427002,0.08669181087046703,0.012768964251306658,0.11299984181983025,0.17199484754961947,0.41958943556753636,0.38561270538974907
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_4,4,rf_reg,34560,8615,42,11,424.12657380104065,0.08177263462183539,0.011975387360681614,0.10943211302301356,0.22345444453579233,0.47831340680552364,0.43426053753046784
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_4,4,lgbm_reg,34560,8615,42,11,15.118546962738037,0.0864840027640021,0.01274192202064557,0.11288012234510365,0.1737484045242067,0.42414629462228354,0.39786749212389605
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_5,5,hgb_reg,34473,8702,42,11,14.54112958908081,0.09241096427033259,0.013871887708649467,0.11777897821194352,0.01727066844969627,0.3225974731804581,0.31908679169640436
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_5,5,rf_reg,34473,8702,42,11,413.45465326309204,0.09462864807920018,0.014422650139178103,0.12009433849760821,-0.021747121094472632,0.25407082029417827,0.2505665769722231
attention,PM.Attention.Scaled__mean,groupkfold_subject_fold_5,5,lgbm_reg,34473,8702,42,11,10.861619710922241,0.09310501888983756,0.014084877690026604,0.11867972737593648,0.0021817702101902814,0.32153360151964866,0.31636268897325276
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_1,1,hgb_reg,38737,9517,44,10,13.668521165847778,0.0981885479702611,0.015223620317503529,0.12338403591025676,0.2198054970567772,0.4793812083507702,0.3741191925793188
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_1,1,rf_reg,38737,9517,44,10,475.4116506576538,0.09960581001580042,0.01573271260334401,0.12543011043343624,0.19371505374436304,0.44978761262680617,0.34372166420184935
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_1,1,lgbm_reg,38737,9517,44,10,10.67389726638794,0.09789635327708025,0.015126311146806135,0.12298906921676468,0.22479248953824238,0.4836664154479612,0.37746280481375566
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_2,2,hgb_reg,38610,9644,43,11,12.68592119216919,0.08208443843467376,0.01113014297478696,0.10549949277028284,0.30560226321437867,0.5618116995602523,0.47654049533414716
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_2,2,rf_reg,38610,9644,43,11,462.75935769081116,0.07936017303987951,0.010734281862282175,0.10360637944780318,0.33029961537126085,0.577329010308028,0.49127306651263686
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_2,2,lgbm_reg,38610,9644,43,11,10.451007604598999,0.08278178236666472,0.011352463609941047,0.10654794043031075,0.29173191615401717,0.5562917407882938,0.4707456385400716
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_3,3,hgb_reg,38537,9717,43,11,12.7087984085083,0.09200199627707734,0.013368776423943834,0.11562342506578774,0.20073154646939084,0.5197878416669743,0.4292697532571911
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_3,3,rf_reg,38537,9717,43,11,449.1323459148407,0.08957066156333617,0.012684109548441277,0.11262375215042908,0.24166518298278583,0.5166807197301087,0.41616580149146887
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_3,3,lgbm_reg,38537,9717,43,11,10.345768451690674,0.09216441355305861,0.013480315444396842,0.1161047606448454,0.1940630513462226,0.5219876535873255,0.4333602206064959
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_4,4,hgb_reg,38521,9733,43,11,12.659137487411499,0.08465150366715557,0.011460317112837876,0.10705287064267766,0.35621757785340324,0.60037289547565,0.5264734492672061
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_4,4,rf_reg,38521,9733,43,11,464.85831356048584,0.07978138389584255,0.010535321984241033,0.10264171658853448,0.4081791072333192,0.6424806514376039,0.5654950113575288
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_4,4,lgbm_reg,38521,9733,43,11,10.395608901977539,0.08415594347625316,0.011406410790667816,0.10680079957878506,0.3592457613071385,0.603159009965167,0.5321679368541083
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_5,5,hgb_reg,38611,9643,43,11,12.788502216339111,0.08535208857303495,0.012267856592062478,0.11076035659053504,0.25438589931355793,0.5672242373187167,0.5013843857729317
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_5,5,rf_reg,38611,9643,43,11,460.68475914001465,0.08458399626552833,0.0120100260657512,0.10959026446610666,0.27005628758085143,0.5519743315313133,0.4672538111454284
engagement,PM.Engagement.Scaled__mean,groupkfold_subject_fold_5,5,lgbm_reg,38611,9643,43,11,10.557905435562134,0.08529873689672075,0.012292144526687358,0.1108699441989909,0.2529097305633804,0.5658656423966965,0.509236309652813
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_1,1,hgb_reg,40808,10175,43,11,12.728759050369263,0.1435199517499054,0.03312941500955783,0.18201487579194683,0.47918384134144854,0.7080264889124248,0.6573303306000228
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_1,1,rf_reg,40808,10175,43,11,512.4833586215973,0.15116292680096008,0.03470783593873842,0.18630039167628826,0.4543700278513845,0.7055579573717559,0.6430255691716731
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_1,1,lgbm_reg,40808,10175,43,11,10.849908590316772,0.14337415952147703,0.03300513954142711,0.18167316681730164,0.48113753330699227,0.7120701468443353,0.6612385072395183
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_2,2,hgb_reg,40822,10161,43,11,12.710796594619751,0.15822751815899802,0.044517610642817076,0.21099196819504074,0.19086917419769012,0.47137725056401825,0.40800398476992733
excitement,PM.Excitement.Scaled__mean,groupkfold_subject_fold_2,2,rf_reg,40822,10161,43,11,521.5692613124847,0.15255190266851473,0.0407084639596353,0.20176338607298228,0.26010240475208635,0.511526088415029,0.42970625360497106
